Sample,Accession,Species,Stage,Replicate
AC15DPA1,SRR12244589,S. lycopersicum,3,1
AC15DPA2,SRR12244588,S. lycopersicum,3,2
AC15DPA3,SRR12244587,S. lycopersicum,3,3
AC1DPA1,SRR12244627,S. lycopersicum,1,1
AC1DPA2,SRR12244626,S. lycopersicum,1,2
AC1DPA3,SRR12244615,S. lycopersicum,1,3
AC3DPA1,SRR12244604,S. lycopersicum,2,1
AC3DPA2,SRR12244593,S. lycopersicum,2,2
AC3DPA3,SRR12244590,S. lycopersicum,2,3
ACbreaker1,SRR12244586,S. lycopersicum,Tr,1
ACbreaker2,SRR12244625,S. lycopersicum,Tr,2
ACbreaker3,SRR12244624,S. lycopersicum,Tr,3
ACrr1,SRR12244623,S. lycopersicum,4,1
ACrr2,SRR12244622,S. lycopersicum,4,2
ACrr3,SRR12244621,S. lycopersicum,4,3
ERR2809794,ERR2809794,A. thaliana,1,1
ERR2809795,ERR2809795,A. thaliana,1,2
ERR2809796,ERR2809796,A. thaliana,1,3
ERR2809797,ERR2809797,A. thaliana,2,1
ERR2809798,ERR2809798,A. thaliana,2,2
ERR2809799,ERR2809799,A. thaliana,2,3
ERR2809800,ERR2809800,A. thaliana,2,4
ERR2809801,ERR2809801,A. thaliana,2,4
ERR2809802,ERR2809802,A. thaliana,2,5
ERR2809803,ERR2809803,A. thaliana,2,5
ERR2809804,ERR2809804,A. thaliana,2,6
ERR2809805,ERR2809805,A. thaliana,2,6
ERR2809806,ERR2809806,A. thaliana,3,1
ERR2809807,ERR2809807,A. thaliana,3,2
ERR2809808,ERR2809808,A. thaliana,3,3
ERR2809809,ERR2809809,A. thaliana,3,4
ERR2809810,ERR2809810,A. thaliana,3,4
ERR2809811,ERR2809811,A. thaliana,3,5
ERR2809812,ERR2809812,A. thaliana,3,5
ERR2809813,ERR2809813,A. thaliana,3,6
ERR2809814,ERR2809814,A. thaliana,3,6
ERR2809815,ERR2809815,A. thaliana,Tr,1
ERR2809816,ERR2809816,A. thaliana,Tr,2
ERR2809817,ERR2809817,A. thaliana,Tr,3
Nobt3DPA1,SRR12244600,N. obtusifolia,2,1
Nobt3DPA2,SRR12244599,N. obtusifolia,2,2
Nobt3DPA3,SRR12244598,N. obtusifolia,2,3
Nobt6DPA1,SRR12244597,N. obtusifolia,3,1
Nobt6DPA2,SRR12244596,N. obtusifolia,3,2
Nobt6DPA3,SRR12244595,N. obtusifolia,3,3
NobtPre1,SRR12244603,N. obtusifolia,1,1
NobtPre2,SRR12244602,N. obtusifolia,1,2
NobtPre3,SRR12244601,N. obtusifolia,1,3
Nobtbr1,SRR12244594,N. obtusifolia,Tr,1
Nobtbr1.1,SRR12248214,N. obtusifolia,Tr,1
Nobtbr2,SRR12244592,N. obtusifolia,Tr,2
Nobtbr2.1,SRR12248213,N. obtusifolia,Tr,2
Nobtbr3,SRR12244591,N. obtusifolia,Tr,3
Nobtbr3.1,SRR12248212,N. obtusifolia,Tr,3
SP15DPA1,SRR12244613,S. pimpinellifolium,3,1
SP15DPA2,SRR12244612,S. pimpinellifolium,3,2
SP15DPA3,SRR12244611,S. pimpinellifolium,3,3
SP1DPA1,SRR12244620,S. pimpinellifolium,1,1
SP1DPA2,SRR12244619,S. pimpinellifolium,1,2
SP1DPA3,SRR12244618,S. pimpinellifolium,1,3
SP3DPA1,SRR12244617,S. pimpinellifolium,2,1
SP3DPA2,SRR12244616,S. pimpinellifolium,2,2
SP3DPA3,SRR12244614,S. pimpinellifolium,2,3
SPbreaker1,SRR12244610,S. pimpinellifolium,Tr,1
SPbreaker2,SRR12244609,S. pimpinellifolium,Tr,2
SPbreaker3,SRR12244608,S. pimpinellifolium,Tr,3
SPrr1,SRR12244607,S. pimpinellifolium,4,1
SPrr2,SRR12244606,S. pimpinellifolium,4,2
SPrr3,SRR12244605,S. pimpinellifolium,4,3
SRR3199616,SRR3199616,C. melo,2,1
SRR3199617,SRR3199617,C. melo,2,2
SRR3199618,SRR3199618,C. melo,2,3
SRR3199622,SRR3199622,C. melo,3,1
SRR3199623,SRR3199623,C. melo,3,2
SRR3199624,SRR3199624,C. melo,3,3
SRR3199628,SRR3199628,C. melo,Tr,1
SRR3199629,SRR3199629,C. melo,Tr,2
SRR3199630,SRR3199630,C. melo,Tr,3
SRR3199635,SRR3199635,C. melo,4,1
SRR3199656,SRR3199656,C. melo,4,2
SRR3199657,SRR3199657,C. melo,4,3